,token,transcript_id,sentence_id,surprisal,oov
58039,↓have,20,44,7.640308530348233,False
58040,↓al,20,44,7.295969781868914,False
58041,most,20,44,7.04126035847288,False
58042,↓double,20,44,8.522660040130758,False
58043,ed,20,44,1.1519130890068854,False
58044,↓in,20,44,2.917970246602995,False
58045,↓a,20,44,4.610032740207893,False
58046,↓year,20,44,9.009889160228132,False
58047,↓leave,20,44,15.711590546807427,False
58048,ing,20,44,3.5605058713077207,False
58049,↓state,20,44,11.479937514075221,False
58050,↓school,20,44,10.289142704764261,False
58051,s,20,44,1.1353481139012227,False
58052,↓short,20,44,13.377260127666979,False
58053,↓of,20,44,2.87479979552647,False
58054,↓more,20,44,10.66933096565064,False
58055,↓than,20,44,1.418593932127443,False
58056,↓5000,20,44,21.120876777035893,False
58057,↓teach,20,44,12.042091513176226,False
58058,er,20,44,1.4854040810642501,False
58059,s,20,44,1.9815266744476563,False
58060,↓with,20,44,6.277081003680008,False
58061,↓near,20,44,13.322570296217432,False
58062,ly,20,44,0.45121605775411766,False
58063,↓2700,20,44,23.839157501599956,False
58064,↓of,20,44,8.161782551856364,False
58065,↓these,20,44,8.159051703527018,False
58066,↓in,20,44,7.19425518571327,False
58067,↓second,20,44,11.632006482354763,False
58068,ary,20,44,2.555271928772579,False
58069,↓school,20,44,1.3456540266230665,False
58070,s,20,44,0.6541538082474371,False
58071,↓the,20,45,4.536386560342236,False
58072,↓new,20,45,6.822585777677951,False
58073,↓figure,20,45,11.793125741776834,False
58074,s,20,45,2.2919361372526583,False
58075,↓come,20,45,9.806262508151933,False
58076,↓in,20,45,3.5199945917119906,False
58077,↓the,20,45,4.677747957859422,False
58078,↓same,20,45,6.603789227439077,False
58079,↓month,20,45,7.727230767383458,False
58080,s,20,45,3.103718621598642,False
58081,↓as,20,45,7.279061173695126,False
58082,↓mike,20,45,13.289790612152757,False
58083,↓tomlin,20,45,9.465025268390052,False
58084,son,20,45,2.8892903990745338,False
58085,↓the,20,45,8.573041340573447,False
58086,↓chief,20,45,11.716743565520884,False
58087,↓in,20,45,6.982585927851366,False
58088,spect,20,45,3.6500013468064165,False
58089,or,20,45,2.437244513496439,False
58090,↓of,20,45,7.5702806453180225,False
58091,↓school,20,45,8.74668781229983,False
58092,s,20,45,2.6620920153699434,False
58093,↓warn,20,45,14.543790145717441,False
58094,ed,20,45,1.5947553306269715,False
58095,↓that,20,45,2.3354865548274444,False
58096,↓teach,20,45,10.620888504161037,False
58097,er,20,45,0.4196848279693605,False
58098,↓short,20,45,13.304650292070159,False
58099,age,20,45,1.217432955668592,False
58100,s,20,45,0.3964001483119869,False
58101,↓have,20,45,6.696379083570823,False
58102,↓be,20,45,3.6441848299471586,False
58103,come,20,45,3.232935545342592,False
